DATE,BAMLCC0A1AAATRIV
2023-10-25,606.38
2023-10-26,610.95
2023-10-27,610.79
2023-10-30,608.87
2023-10-31,607.39
2023-11-01,614.81
2023-11-02,621.89
2023-11-03,625.86
2023-11-06,622.72
2023-11-07,626.54
2023-11-08,631.16
2023-11-09,623.72
2023-11-10,625.58
2023-11-13,625.95
2023-11-14,635.19
2023-11-15,630.63
2023-11-16,635.30
2023-11-17,637.01
2023-11-20,639.48
2023-11-21,639.67
2023-11-22,641.25
2023-11-23,641.31
2023-11-24,638.06
2023-11-27,644.27
2023-11-28,645.74
2023-11-29,651.31
2023-11-30,648.27
2023-12-01,655.37
2023-12-04,653.36
2023-12-05,659.32
2023-12-06,663.16
2023-12-07,660.55
2023-12-08,657.28
2023-12-11,656.57
2023-12-12,658.23
2023-12-13,668.53
2023-12-14,677.82
2023-12-15,676.74
2023-12-18,673.88
2023-12-19,674.68
2023-12-20,677.24
2023-12-21,674.29
2023-12-22,673.31
2023-12-25,.
2023-12-26,674.27
2023-12-27,680.89
2023-12-28,678.25
2023-12-29,675.60
2023-12-31,675.67
2024-01-01,.
2024-01-02,672.01
2024-01-03,672.04
2024-01-04,666.86
2024-01-05,664.33
2024-01-08,668.38
2024-01-09,668.19
2024-01-10,668.26
2024-01-11,671.88
2024-01-12,673.57
2024-01-15,673.78
2024-01-16,667.57
2024-01-17,666.37
2024-01-18,664.26
2024-01-19,664.50
2024-01-22,666.25
2024-01-23,663.71
2024-01-24,662.25
2024-01-25,665.46
2024-01-26,664.90
2024-01-29,668.17
2024-01-30,669.50
2024-01-31,672.81
2024-02-01,677.89
2024-02-02,669.34
2024-02-05,662.80
2024-02-06,667.25
2024-02-07,665.41
2024-02-08,662.84
2024-02-09,661.18
2024-02-12,661.11
2024-02-13,653.68
2024-02-14,656.69
2024-02-15,658.96
2024-02-16,656.84
2024-02-19,657.05
2024-02-20,657.85
2024-02-21,655.91
2024-02-22,657.39
2024-02-23,660.51
2024-02-26,658.67
2024-02-27,656.61
2024-02-28,658.50
2024-02-29,660.03
2024-03-01,662.83
2024-03-04,662.31
2024-03-05,666.23
2024-03-06,668.93
2024-03-07,669.67
2024-03-08,670.12
2024-03-11,669.95
2024-03-12,667.52
2024-03-13,667.07
2024-03-14,661.39
2024-03-15,661.46
2024-03-18,661.13
2024-03-19,662.22
2024-03-20,661.88
2024-03-21,662.84
2024-03-22,666.32
2024-03-25,664.36
2024-03-26,664.78
2024-03-27,667.14
2024-03-28,667.95
2024-03-29,.
2024-03-31,668.09
2024-04-01,661.22
2024-04-02,660.15
2024-04-03,660.53
2024-04-04,662.74
2024-04-05,657.38
